               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076825,            0.030364,            0.025689,           0.0011848,            0.011905,          0.00041089,          0.00012112,              0.1189,              3.6157,              0.2353,              0.0811,              0.0021,              0.0021
                   1,            0.054814,            0.021104,            0.012035,           0.0057375,             0.13852,           0.0016582,          0.00040659,             0.11938,                27.7,             0.27034,            0.060874,           0.0038743,           0.0038743
                   2,            0.049243,            0.018156,           0.0082044,            0.073023,             0.17167,            0.019502,           0.0072427,             0.12654,              4.2794,              0.7761,            0.040213,            0.005213,            0.005213
                   3,            0.045568,            0.016562,           0.0056498,             0.26282,            0.031622,           0.0068343,           0.0021333,            0.085308,              1.2897,            0.068036,            0.019116,           0.0061161,           0.0061161
                   4,            0.042812,            0.017275,           0.0057721,             0.11646,             0.53284,             0.20084,            0.082842,            0.063528,             0.46013,            0.021891,             0.00604,             0.00604,             0.00604
                   5,            0.040354,             0.01568,           0.0046679,             0.63092,             0.45396,             0.41306,             0.22869,            0.050444,            0.037169,           0.0092515,             0.00604,             0.00604,             0.00604
                   6,            0.038037,            0.015895,           0.0039737,              0.5642,             0.48423,             0.47494,             0.26132,            0.044505,            0.077779,            0.011909,             0.00505,             0.00505,             0.00505
                   7,            0.032795,            0.014276,           0.0035777,             0.68371,             0.50641,             0.56133,             0.35005,            0.034841,            0.038898,           0.0092552,             0.00406,             0.00406,             0.00406
                   8,            0.030782,            0.013748,           0.0029234,              0.8302,              0.6719,             0.76146,             0.47505,            0.027814,            0.016116,           0.0024654,             0.00307,             0.00307,             0.00307
                   9,            0.026917,            0.013364,            0.002171,             0.86319,             0.73176,             0.81647,             0.52311,            0.025425,            0.011595,           0.0019174,             0.00208,             0.00208,             0.00208
